dish	Avg.Star
cream based	0.0
mortadella	0.0
baati	0.0
pane di altamura	0.0
fettucine alfredo	0.0
sammy hagar	0.0
beef ground	0.0
tagliatelle al ragu	0.0
dogfish shark	0.0
paccheri	0.0
dolma	0.0
mushroom matar	0.0
lazio	0.0
bavette	0.0
middle eastern cuisine	0.0
big star	0.0
colli euganei	0.0
dhebra	0.0
koshambri	0.0
chiacchiere	0.0
cable car	0.0
chicken shawarma	0.0
mysore pak	0.0
butternut tortelli	0.0
tomatoes onions	0.0
tagliatelle al ragù	0.0
paradise valley	0.0
with or without tomato.	0.0
colomba pasquale	0.0
spaghetti indiavolati	0.0
baba ghanouj	0.0
ribolla gialla	0.0
paneer tikka masala	0.0
handwo	0.0
aloo methi	0.0
ricotta sausage	0.0
orecchiette	0.0
tagliatelle ai carciofi	0.0
peperonata	0.0
sformato di riso dolce	0.0
olive green	0.0
pani tenga	0.0
buridda	0.0
juvar no rotlo	0.0
ragi mudhe	0.0
tenga doi	0.0
fruit preserves made with vinegar	0.0
ravioli butternut	0.0
prezzemolo	0.0
palappam	0.0
ghever	0.0
olives tapenade	0.0
malpua	0.0
cannelloni al ragu	0.0
south asian	0.0
persian stew	0.0
pinzillacchere	0.0
olive bread	0.0
van buren	0.0
pizza pugliese	0.0
pumpkin cake	0.0
bhaji	0.0
ficattola	0.0
laapsi	0.0
tom colicchio	0.0
mary sue	0.0
tomato grilled	0.0
pattor	0.0
salvia	0.0
the ground beef	0.0
gyro greek	0.0
kaara kozhambu	0.0
pea mezzaluna	0.0
trippa alla romana	0.0
nebbiolo	0.0
cannelloni al ragù	0.0
pollo supremo	0.0
aceto dolce	0.0
cozze ripiene	0.0
piccoli frutti	0.0
aloo baingan masala	0.0
pub crawl	0.0
butter basil	0.0
el hefe	0.0
golden nugget	0.0
mishti chholar dal	0.0
crostoli	0.0
carciofi	0.0
dobos of trieste	0.0
bhelpuri	0.0
nocciolini di canzo	0.0
santa monica	0.0
pastiera	0.0
makka poha	0.0
sparkling wine	0.0
montepulciano d'abruzzo	0.0
golden raisins	0.0
tiramisù	0.0
marzotica	0.0
speck alto adige pgi	0.0
anisette	0.0
spaghetti alla puttanesca	0.0
tartufo	0.0
risi e bisi	0.0
desert inn	0.0
negroamaro	0.0
puli sadam	0.0
ricotta salata	0.0
robiola	0.0
sardele in saor	0.0
tortano	0.0
prosciutto cotto	0.0
insalata di riso	0.0
farfalle	0.0
spiedini ai frutti di mare	0.0
gajar matar aloo	0.0
spaghetti al nero di seppia	0.0
falafel hummus	0.0
scallops risotto	0.0
horioh maas	0.0
ligurian pesto	0.0
south indian	0.0
calzone	0.0
sarde arraganate	0.0
cotoletta alla petroniana	0.0
maasor tenga	0.0
ciriola	0.0
preserved in vinegar or	0.0
shakarpara	0.0
cacioricotta	0.0
machher jhol	0.0
greek food	0.0
persian rice	0.0
pizza ai frutti di mare	0.0
ragù alla bolognese	0.0
chana masala	0.0
mozzarella and onions	0.0
chapathi	0.0
bilahi maas	0.0
trofie al sugo di noci	0.0
langhe	0.0
hummus pita	0.0
ponganalu	0.0
sev khamani	0.0
mirchi bajji	0.0
gulab jamun	0.0
formai de mut dell'alta valle brembana	0.0
frida kahlo	0.0
sicilian snail soup	0.0
ennai kathirikkai	0.0
coffee bean	0.0
pita feta	0.0
fonduta	0.0
artichokes and anchovy pizza	0.0
keri no ras	0.0
tortellini	0.0
pizza siciliana	0.0
palak paneer	0.0
steak florentine	0.0
sausage ricotta	0.0
kanafeh	0.0
rogan josh	0.0
vezione verro	0.0
cake chocolate	0.0
the indian sampler	0.0
scampi gratinati	0.0
calamari ripieni	0.0
alambre	0.0
rasmalai	0.0
frutti di bosco	0.0
penne all'arrabbiata	0.0
zucchine	0.0
riso valdostano	0.0
insalata caprese	0.0
thai chinese	0.0
tommy bahama	0.0
carpaccio polenta	0.0
gattinara	0.0
linguine with clam sauce	0.0
polpettine di mare	0.0
focaccia al rosmarino	0.0
pizza with mushroom and sausage	0.0
bucatini alla sorrentina	0.0
burrata	0.0
porcaloca	0.0
shrimp saganaki	0.0
basil butter	0.0
gavvalu	0.0
zoes feta	0.0
ciaccino	0.0
arbi masala	0.0
ricotta ravioli	0.0
tortilla soup	0.0
namkeen	0.0
penne all arrabbiata	0.0
flatbread pizza	0.0
butternut tortellini	0.0
funghi	0.0
eggplant dip	0.0
food kabobs	0.0
brodetto di arselle	0.0
beef lula	0.0
po boy	0.0
tiella di riso, patate e cozze	0.0
montasio	0.0
rajma chaval	0.0
michetta	0.0
bouillabaisse	0.0
malapua	0.0
snow fungus soup	0.0
barolo	0.0
a greek salad	0.0
sfogliatelle	0.0
garganelli	0.0
halvasan	0.0
pizzelle	0.0
agliata	0.0
four cheese pizza	0.0
falafel pita	0.0
aloo matar	0.0
aam papad	0.0
minestra di ceci	0.0
violino valtell	0.0
pimenton sauce	0.0
mozzarelline fritte	0.0
caprese	0.0
formadi frânt e formadi salât	0.0
acciughe	0.0
kombdi vade	0.0
gay bar	0.0
limone	0.0
luchi	0.0
home depot	0.0
til pitha	0.0
olives entrees	0.0
melanzane	0.0
formadi frânt e formadi salat	0.0
pesaha appam	0.0
burger fries	0.0
ossobuco	0.0
chorafali	0.0
masala dosa	0.0
merguez	0.0
asparagi	0.0
fontina	0.0
maltagliati	0.0
casatiello	0.0
basil onion	0.0
vegetable jalfrezi	0.0
grumello	0.0
grana padano	0.0
brown butter	0.0
truffle mashed	0.0
stigghiola	0.0
mount everest	0.0
chicory	0.0
beach house	0.0
enchiladas and tacos	0.0
albana	0.0
daal puri	0.0
valcalepio	0.0
mexico city	0.0
squacquerone	0.0
ziti	0.0
crescentina	0.0
spaghetti all' aglio	0.0
risotto allo zafferano con petto d'anatra	0.0
cotoletta alla milanese	0.0
kulfi falooda	0.0
pizza delivery	0.0
pignolata	0.0
aloo paratha	0.0
poha	0.0
bikaneri bhujia	0.0
pohe	0.0
hazelnut chocolates or spread	0.0
chaat	0.0
octopus chickpeas	0.0
pane toscano	0.0
pathiri	0.0
pindi chana	0.0
speck alto adige	0.0
pizza ai funghi e salsiccia	0.0
amatriciana	0.0
sachima	0.0
capicollo	0.0
dahi puri	0.0
sarde grigliate	0.0
strucoli or strudel	0.0
grancevola alla veneziana	0.0
fasolada	0.0
pitha	0.0
koshimbir	0.0
bistecca alla fiorentina	0.0
hors d'oeuvres	0.0
the chicken shawarma and	0.0
dhokla	0.0
trofie al pesto	0.0
hospitality industry	0.0
dessert wine	0.0
moroccan couscous	0.0
gutturnio	0.0
casècc	0.0
golden corral	0.0
lardo	0.0
pizza funghi e salsiccia	0.0
uttapam	0.0
dhup pitha	0.0
boreto alla graisana	0.0
of the hummus	0.0
spinach pie	0.0
tabor	0.0
pitigliano	0.0
grand marnier	0.0
torgiano	0.0
anarsa	0.0
pita hummus	0.0
valdinievole	0.0
fig flatbread	0.0
modak	0.0
yui shan chicken	0.0
ceci	0.0
gulash	0.0
san daniele ham	0.0
braised pork shoulder	0.0
mexican american	0.0
turkish coffee	0.0
rye bread	0.0
namakpara	0.0
panipuri	0.0
cooked ham	0.0
wine bottle	0.0
coppia ferrarese	0.0
anguilla marinate	0.0
anguilla marinata	0.0
cucumber yogurt	0.0
air-dried salted beef	0.0
chapati	0.0
sbroscia bolsenese	0.0
agghiotta di lumache	0.0
origano	0.0
agnolotti	0.0
carne al piatto	0.0
sakinalu	0.0
amritsari kulcha	0.0
biga	0.0
cevapcici	0.0
murazzano	0.0
acquacotta	0.0
french bean aloo	0.0
gheela pitha	0.0
arnold palmer	0.0
nandu omelette	0.0
haq maas	0.0
copra paak	0.0
shukto	0.0
poornalu	0.0
spaghetti alla carrettiera	0.0
chicken razala	0.0
saganaki	0.0
minestra di pasta con pesce	0.0
baccalà fritto	0.0
ai frutti di mare	0.0
quartirolo	0.0
kansar	0.0
sarde a beccafico	0.0
sooji halwa	0.0
sauce garlic	0.0
salad feta	0.0
taralli	0.0
buddha's delight	0.0
leche shake	0.0
idiappam	0.0
wine cooler	0.0
rucola	0.0
ginestrata	0.0
fiore sardo	0.0
semifreddo	0.0
triple sec	0.0
double ka meetha	0.0
cappellini	0.0
alain ducasse	0.0
cotechino modena	0.0
ovada	0.0
prosciutto crudo	0.0
crocetta of caltanissetta	0.0
nipozzano	0.0
doodhpak	0.0
marinated eel	0.0
dessert chocolate	0.0
tortelloni ricotta and spinach	0.0
squid octopus	0.0
risotto con la lüganega	0.0
capesante alla veneziana	0.0
strascinati	0.0
koldil duck	0.0
pasta butternut	0.0
carbonara	0.0
vin santo	0.0
baccala fritto	0.0
cocoa powder	0.0
chole bhatura	0.0
chole bhature	0.0
litti chokha	0.0
sarson da saag	0.0
manda pitha	0.0
asiago	0.0
stoccafisso alla genovese	0.0
breads olive	0.0
small garden fruits	0.0
casiello	0.0
irish bar	0.0
mt everest	0.0
marzolino	0.0
pesarattu	0.0
monte veronese	0.0
impanata di pesce spada	0.0
greek salad	0.0
rosmarino	0.0
penia	0.0
ciarduna	0.0
gubana	0.0
chianti	0.0
risotto indivia e fiori di zucca	0.0
mishti doi	0.0
gyros	0.0
ghebar or ghevar	0.0
chen wok	0.0
testarolo	0.0
panforte	0.0
grissini torinesi	0.0
ragu alla salsiccia	0.0
ciabusco	0.0
spaghetti all aglio olio e peperoncino	0.0
chakri	0.0
peperoncino	0.0
sformato al basilico	0.0
tagliatelle al sugo di lepre	0.0
mutton biryani	0.0
prosciutto e melone	0.0
kali dal	0.0
coq au vin	0.0
tumazzu	0.0
babà	0.0
bharwein karela	0.0
uppittu	0.0
tonno sottolio	0.0
buccellato	0.0
minestra di fagioli	0.0
chicken kabob	0.0
emeril lagasse	0.0
ghugni	0.0
feta fries	0.0
rice salad	0.0
pizza ai quattro formaggi	0.0
mgm grand	0.0
pesce spada arrosto in salmoriglio	0.0
tex mex	0.0
malloreddus	0.0
sassella	0.0
nervetti	0.0
glazed chicken lavosh pizza	0.0
shrikhand	0.0
shahi paneer	0.0
gyro meat	0.0
seppie ripiene	0.0
basundi	0.0
pizza romana	0.0
perciatelli	0.0
california pizza kitchen	0.0
dahi vada	0.0
bhindi masala	0.0
salsiccia cruda	0.0
scamorza	0.0
tonno sott'olio	0.0
lauki ke kofte	0.0
mangalore bajji	0.0
gobhi paratha	0.0
pinzimonio	0.0
olive and anchovy	0.0
zongzi	0.0
cotechino friulano	0.0
pista petha	0.0
risotto alla milanese or risotto with saffron	0.0
belly dancing	0.0
cozze alla tarantina	0.0
wheat pita	0.0
bharwaan tinde	0.0
papadum	0.0
dulce de leche shake	0.0
sagrantino	0.0
squash ravioli	0.0
carema riserva	0.0
chili parotha	0.0
octopus grilled	0.0
filetti di baccalà	0.0
maria maria	0.0
namak para	0.0
lambrusco	0.0
prickly pear	0.0
bone in ribeye	0.0
squash pasta	0.0
bag of tortilla chips	0.0
moroccan pastry	0.0
taj mahal	0.0
aloo tikki	0.0
singhada halwa	0.0
prosciutto flatbread	0.0
pecorino sardo	0.0
the polenta	0.0
monferrato	0.0
blind pig	0.0
riso tonnato	0.0
kumol sawul	0.0
tiella di riso patate e cozze	0.0
bucatini all'amatriciana	0.0
colli apuani	0.0
aceto balsamico	0.0
sabudana vada	0.0
paneer butter masala	0.0
yelumincham sadam	0.0
acciughe in carpione	0.0
home made chips	0.0
verduzzo friulano	0.0
kheer	0.0
gajar halwo	0.0
patatas bravas	0.0
olive spreads	0.0
rigatoni con la pajata	0.0
peperoni	0.0
sev tameta	0.0
zuppa di pesce	0.0
pecorino romano	0.0
rigatoni al forno con salsa aurora	0.0
makki di roti	0.0
filetti di baccala	0.0
swiss chard	0.0
bonda	0.0
filetti di orata al cartoccio	0.0
emmer	0.0
barg koobideh	0.0
chick fil a	0.0
cannelloni ai carciofi	0.0
house made mozzarella	0.0
photo booth	0.0
cotechino friulano or muset	0.0
standard italian	0.0
piadina	0.0
south indian cuisine	0.0
veg kolhapuri	0.0
pizza express	0.0
bagna cauda	0.0
risotto di seppie alla veneziana	0.0
kos kootu	0.0
salame	0.0
fagioli	0.0
misi roti	0.0
watermelon panzanella	0.0
aglianico del taburno	0.0
mooncake	0.0
vada pav	0.0
paglia e fieno	0.0
fra diavolo	0.0
kati roll	0.0
seppie col nero alla veneziana	0.0
saffron rice	0.0
tacconi	0.0
rice basmati	0.0
maccheroni	0.0
vadai	0.0
missultin e polenta	0.0
strucchi or struki	0.0
dal bhatti	0.0
gorgonzola pizza	0.0
muthiya	0.0
flatbread prosciutto	0.0
ciccillo	0.0
strolghino	0.0
risotto alla marinara	0.0
crespelle	0.0
strangozzi	0.0
pantua	0.0
bresaola	0.0
custoza	0.0
ricotta affumicata	0.0
new york style pizza	0.0
puri bhaji	0.0
trottole	0.0
branzino al sale	0.0
utappam	0.0
gobi manchurian	0.0
baccala alla vicentina	0.0
grilled halloumi	0.0
lemon basil shrimp and pasta	0.0
cookie dessert	0.0
payasam	0.0
aappam	0.0
schiopettino	0.0
rasya muthia	0.0
la favorita	0.0
mentuccia	0.0
squash tortelli	0.0
daal dhokli	0.0
campi flegrei	0.0
pecorino friulano	0.0
zuppa inglese	0.0
chicago style pizza	0.0
tabouli	0.0
baingan bharta	0.0
offelle	0.0
dosa	0.0
frank sinatra	0.0
spaghetti aglio olio e peperoncino	0.0
pootharekulu	0.0
sunga pork	0.0
tikka masala	0.0
alici marinate	0.0
kabob rice	0.0
crostata	0.0
sardinian pasta	0.0
pablo picasso	0.0
italian american	0.0
butirro	0.0
torta bertolina	0.0
methi saag	0.0
green chile sauce	0.0
aloo baingan	0.0
papri chaat	0.0
upmaa	0.0
chitranna	0.0
fiano di avellino	0.0
panzanella	0.0
trebbiano	0.0
triglie alla livornese	0.0
risotto con scamorza e champagne	0.0
batata vada	0.0
riso e indivia	0.0
the chicken shawarma	0.0
spanakopita	0.0
pashti	0.0
scampi a zuppetta	0.0
cetrioli	0.0
paruppu sadam	0.0
shondesh	0.0
tzatziki sauce	0.0
medicine man	0.0
gorgonzola	0.0
amti	0.0
rava dosa	0.0
jalebi	0.0
parmigiano reggiano	0.0
bhakri	0.0
marsala	0.0
baba ganoush	0.0
beer bar	0.0
mek bqad	0.0
rice kabob	0.0
red bull	0.0
truffle cheese	0.0
daal baati churma	0.0
trenette	0.0
sarde con origano e pane	0.0
tapenade olives	0.0
lilva kachori	0.0
fragole	0.0
palak daal	0.0
sambar	0.0
ilish bhape	0.0
tikona	0.0
sauvignon blanc	0.0
braciole	0.0
keerai kootu	0.0
maddur vada	0.0
sarva pindi	0.0
bhatura	0.0
canestrato pugliese	0.0
coda alla vaccinara	0.0
ragu alla bolognese	0.0
kori rotti	0.0
grignolino	0.0
montalcino	0.0
mac n' cheese	0.0
tigella	0.0
sogliole alla mugnaia	0.0
mediterranean cuisine	0.0
garmugia	0.0
baccalà alla vicentina	0.0
struffoli	0.0
masala puri	0.0
monte cristo	0.0
mascarpone guanciale mashed potatoes	0.0
